RQ1.1,RQ1.2,RQ1.3,RQ1.4,RQ1.5,RQ2.1,RQ2.2,RQ2.3,RQ2.4,RQ2.5,RQ3.1,RQ3.2,RQ3.3,RQ3.4,RQ3.5,RQ4.1,RQ4.2,RQ4.3,RQ4.4,RQ4.5,RQ5.1,RQ5.2,RQ5.3,RQ5.4,RQ5.5,RQ6.1,RQ6.2,RQ6.3,RQ6.4,RQ6.5,F11,F12,F13,F14,F15,F16,y11,Y1,y22,y33,y44,y55,y66,Y2,Y3,Y4,Y5,Y6,Improved
4,4,2,4,2,2,4,4,4,2,2,3,4,4,4,4,4,3,2,2,2,2,3,4,2,2,3,4,4,4,-0.033597961,0.397597654,0.316906328,-0.110320037,-0.871690358,-0.348814611,16,1,16,17,15,13,17,1,1,1,1,1,-0.174142583
4,2,3,4,3,2,3,4,2,3,2,3,4,4,4,4,3,4,2,4,2,3,2,4,4,2,2,2,4,4,-0.051545237,-0.436909895,0.316906328,0.054049152,-0.3851058,-1.16047549,16,1,14,17,17,15,14,1,1,1,1,1,-0.171418128
4,2,1,1,1,4,4,1,4,4,5,1,1,1,4,1,1,1,1,1,4,1,1,4,1,4,4,4,5,1,-1.548498975,0.336862511,-0.9329598,-2.586342505,-1.272627988,0.136232204,9,1,17,12,5,11,18,1,1,0,1,1,-1.370587986
2,2,2,2,1,5,5,2,2,5,1,3,1,1,3,3,1,3,1,1,3,3,5,3,3,3,5,5,3,1,-1.47735812,0.348208317,-1.27574667,-1.514483827,0.104077032,0.035557538,9,1,19,9,9,17,17,1,1,1,1,1,-0.985666877
4,3,1,1,1,2,2,1,4,3,2,3,2,1,3,4,4,4,5,3,3,3,2,4,3,3,4,5,3,3,-1.305819952,-0.56649208,-0.892311335,0.806659513,-0.348886614,0.020237265,10,1,12,11,20,15,18,1,1,1,1,1,-0.887315422
2,3,3,3,3,1,3,1,2,3,1,2,1,1,4,4,4,4,4,4,2,2,4,4,3,4,4,4,2,2,-0.33441134,-1.007198263,-1.361925663,0.712136097,-0.435413416,-0.422371737,14,1,10,9,20,15,16,1,1,1,1,1,-0.995425233
1,1,1,1,1,4,2,4,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,2,-2.298429586,-0.854442286,-1.391059236,-1.299098702,-1.036642588,0.04975562,5,0,14,9,12,12,18,1,1,1,1,1,-1.678546089
3,4,4,4,3,1,3,3,1,3,4,4,3,2,5,4,5,4,5,3,2,2,3,4,5,3,4,5,4,4,0.486660126,-1.011298417,0.568759663,1.08794869,-0.210670667,0.405888039,18,1,11,18,21,16,20,1,1,1,1,1,0.16720984
4,2,1,1,1,4,4,1,1,4,4,1,1,1,4,4,4,4,4,1,4,2,4,4,4,4,4,4,5,1,-1.548498975,-0.729863642,-1.112775526,0.430509693,0.298044647,0.136232204,9,1,14,11,17,18,18,1,1,1,1,1,-0.756614306
4,2,2,2,2,4,2,4,2,4,2,4,2,3,2,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,-0.893710806,-0.47411563,-0.407558746,0.712136097,0.298044647,-0.034320148,12,1,16,13,20,18,18,1,1,1,1,1,-0.189994071
3,3,2,1,1,4,3,4,4,3,2,3,2,2,3,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,-1.252972634,0.360391919,-0.693024537,0.712136097,-0.215073519,0.348929811,10,1,18,12,20,16,20,1,1,1,1,1,-0.321364161
3,5,3,1,5,1,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,4,4,4,4,4,0.436234944,0.734848786,0.96683482,0.078078847,0.190603834,0.348929811,17,1,17,20,16,17,20,1,1,1,1,1,0.514587344
1,1,1,1,1,5,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,2,4,5,2,1,-2.298429586,-2.0076751,-1.477736667,-2.492467037,-2.144665999,-0.706625583,5,0,10,9,6,7,14,1,1,1,1,1,-2.552640509
1,1,1,1,1,5,3,1,2,1,2,1,1,2,1,1,2,2,2,5,3,2,2,2,3,3,4,3,4,1,-2.298429586,-1.215222827,-1.885474325,-1.483245142,-1.000423401,-0.540039663,5,0,12,7,12,12,15,1,1,1,1,1,-2.026595179
2,3,2,3,4,4,4,2,5,3,3,3,5,1,1,3,4,2,3,3,1,3,1,5,4,1,3,1,1,3,-0.310862933,0.678012182,-0.509872878,-0.363975024,-0.66275444,-2.143967347,14,1,18,13,15,14,9,1,1,1,1,1,-0.576607153
4,4,3,3,3,4,4,3,4,4,4,4,4,3,5,5,5,4,5,3,4,4,5,5,4,3,3,5,3,3,0.246435408,0.688337741,0.97166607,1.365970598,1.232512799,-0.294257197,17,1,19,20,22,22,17,1,1,1,1,1,1.109473581
3,2,2,1,1,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,2,-1.495651657,-1.205917516,-1.0076239,-1.486849638,-1.025915809,-1.255505172,9,1,12,11,10,12,13,1,1,1,1,1,-1.621115108
4,3,1,1,2,4,4,1,2,4,2,2,1,1,4,1,1,2,4,4,2,2,4,4,1,4,4,4,2,2,-1.060340364,-0.374288257,-1.182109937,-1.481612019,-0.87609321,-0.422371737,11,1,15,10,12,13,16,1,1,1,1,1,-1.193409875
4,4,5,4,3,4,4,5,4,2,3,4,4,5,4,2,3,4,5,4,4,3,4,4,5,4,5,4,4,5,0.87767517,0.659486314,0.986305893,0.063201988,0.780226353,0.813011369,20,1,19,20,18,20,22,1,1,1,1,1,1.105038847
4,2,4,4,4,2,4,4,4,4,2,4,4,1,4,1,4,4,4,3,1,2,4,2,4,4,3,4,4,4,0.415865532,0.777924309,0.009342974,-0.215805095,-0.861327581,0.034435348,18,1,18,15,16,13,19,1,1,1,1,1,-0.007824778
4,3,4,4,5,4,5,2,4,4,3,2,4,2,4,4,2,4,4,5,1,3,2,2,4,4,2,3,4,5,0.904024143,0.826120234,-0.192148584,0.243433211,-1.031359862,-0.379055228,20,1,19,15,19,12,18,1,1,1,1,1,0.205154298
4,2,2,4,4,4,1,4,4,4,4,4,4,2,4,4,4,5,4,4,4,5,3,2,4,4,5,4,4,2,-0.02799683,-0.07648497,0.568261224,0.970043527,0.477938051,0.364250083,16,1,17,18,21,18,19,1,1,1,1,1,0.540694447
2,3,3,1,1,5,1,3,1,4,1,1,1,3,3,3,3,4,5,5,3,3,4,4,5,2,3,5,4,4,-1.200125316,-1.275873215,-1.457767156,0.435099363,0.52366727,-0.100231403,10,1,14,9,20,19,18,1,1,1,1,1,-0.67916477
2,2,1,1,1,4,3,1,2,3,3,2,1,1,3,3,4,3,2,2,4,4,3,3,3,4,4,4,4,4,-1.8866667,-0.877971694,-1.20641226,-0.388341945,0.190603834,0.348929811,7,1,13,10,14,17,20,1,1,1,1,1,-1.142274456
4,2,3,1,5,4,2,1,1,4,1,2,1,2,4,4,4,4,4,5,2,4,4,4,4,2,4,4,4,4,-0.122718261,-1.356903859,-1.162638865,0.806011564,0.308610099,-0.034320148,15,1,12,10,21,18,18,1,1,1,1,1,-0.476593427
3,3,2,1,1,4,3,1,3,3,1,1,1,3,1,1,1,1,4,4,1,1,3,3,3,3,3,4,3,3,-1.252972634,-0.52239631,-1.866003253,-1.73951945,-1.364598843,-0.542840406,10,1,14,7,11,11,16,1,1,1,1,1,-1.700996432
2,2,3,2,1,4,3,2,2,4,2,2,1,1,1,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,-1.255426939,-0.512070751,-1.794464083,0.712136097,-0.655753313,0.348929811,10,1,15,7,20,14,20,1,1,1,1,1,-1.018377262
3,2,3,2,3,4,2,2,4,4,3,3,3,4,3,3,3,3,4,5,4,4,4,3,3,2,4,5,4,3,-0.5953839,-0.114440092,0.088984395,-0.011206951,0.406540879,0.064675965,13,1,16,16,18,18,18,1,1,1,1,1,0.017192118
2,2,3,3,3,4,3,3,4,4,1,2,2,2,2,3,3,1,3,3,1,1,1,1,3,1,3,3,3,3,-0.577090363,0.374817632,-1.367255352,-0.903171632,-2.186167911,-1.174673573,13,1,18,9,13,7,13,1,1,1,1,1,-1.342894198
4,4,2,4,4,4,4,3,4,2,4,4,2,2,4,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,0.457361216,0.308011085,0.161022005,-0.180476532,-0.008646507,-0.123197547,18,1,17,16,16,16,18,1,1,1,1,1,0.158706639
4,2,2,2,4,4,2,2,4,4,4,4,2,2,4,4,3,4,2,4,4,4,2,3,4,4,4,4,2,4,-0.40275163,-0.114440092,0.161022005,0.054049152,0.195006686,-0.123197547,14,1,16,16,17,17,18,1,1,1,1,1,-0.026266976
4,4,2,2,2,4,4,4,2,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,-0.408352761,0.152924587,-0.247214093,0.196321235,0.821728265,-0.422371737,14,1,18,14,18,20,16,1,1,1,1,1,0.120265251
4,4,4,4,4,2,2,2,4,2,4,4,2,4,2,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,0.901223577,-0.580917793,0.151359504,0.147587393,0.389854175,0.348929811,20,1,12,16,16,18,20,1,1,1,1,1,0.104861181
4,4,2,4,4,4,4,2,2,2,4,4,4,4,2,4,4,4,2,4,2,2,4,4,2,4,4,4,4,2,0.457361216,-0.578877298,0.558598723,0.335338329,-0.655753313,0.04975562,18,1,14,18,18,14,18,1,1,1,1,1,0.082163847
4,4,4,2,4,5,4,4,2,1,2,2,3,2,2,4,4,4,4,2,3,1,3,3,3,3,3,3,1,3,0.526468777,-0.374489874,-0.983820017,0.524385161,-0.851480676,-1.263550972,18,1,16,11,18,13,13,1,1,1,1,1,-0.495456501
3,3,4,2,3,3,4,3,2,4,3,4,3,3,2,2,3,4,3,3,3,4,3,4,4,3,2,3,3,4,-0.130773697,-0.065888551,-0.024123411,-0.407471248,0.349232137,-0.956330982,15,1,16,15,15,18,15,1,1,1,1,1,-0.134208095
4,4,4,2,3,2,3,4,4,3,4,3,3,4,2,4,4,2,3,3,4,4,4,3,2,2,2,2,4,2,0.280989189,0.274240873,0.064682073,-0.085953116,0.186200982,-1.459649681,17,1,16,16,16,17,12,1,1,1,1,1,-0.030715741
4,2,2,4,2,4,4,4,3,2,4,4,4,2,4,4,4,2,2,2,4,4,4,2,2,4,4,2,2,4,-0.518956006,0.128173315,0.568261224,-0.368227468,-0.008646507,-0.620363963,14,1,17,18,14,16,16,1,1,1,1,1,-0.027415503
4,4,4,2,4,4,4,2,2,4,4,4,2,4,2,4,4,4,2,4,4,4,2,2,2,4,4,2,4,2,0.526468777,-0.198550643,0.151359504,0.335338329,-0.440520597,-0.447410796,18,1,16,16,18,14,16,1,1,1,1,1,0.013793256
4,4,2,4,3,4,4,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,4,2,2,4,4,4,4,2,0.211881627,0.152924587,-0.247214093,-1.11005187,-0.008646507,0.04975562,17,1,18,14,12,16,18,1,1,1,1,1,-0.144660747
4,4,2,4,4,2,2,4,4,2,4,4,2,4,2,4,4,2,4,4,4,4,2,2,4,4,4,2,4,4,0.457361216,-0.229442564,0.151359504,0.196321235,0.000159197,-0.148236606,18,1,14,16,18,16,18,1,1,1,1,1,0.04437669
4,4,4,2,4,4,4,2,2,3,4,4,2,2,4,4,2,2,2,2,2,2,4,4,2,4,4,4,2,2,0.526468777,-0.388713971,0.161022005,-0.930805822,-0.655753313,-0.422371737,18,1,15,16,12,14,16,1,1,1,1,1,-0.288809706
4,4,2,4,2,4,4,3,4,3,2,2,4,2,4,4,2,4,2,3,2,2,2,4,2,2,2,4,4,4,-0.033597961,0.498174413,-0.37196431,-0.321115492,-1.087627403,-0.663309074,16,1,18,14,15,12,16,1,1,1,1,1,-0.356784625
4,4,4,2,2,2,2,4,3,4,4,4,4,4,2,2,2,2,4,4,4,4,4,2,4,2,2,4,4,3,0.035509601,-0.204691292,0.558598723,-0.922300934,0.432033287,-0.812896169,16,1,15,18,14,18,15,1,1,1,1,1,0.04809276
4,4,2,4,2,4,4,2,2,4,2,2,4,2,2,2,4,2,2,4,2,2,2,4,2,2,4,4,4,2,-0.033597961,-0.198550643,-0.780200407,-0.736520348,-1.087627403,-0.333494339,16,1,16,12,14,12,16,1,1,1,1,1,-0.680183539
1,2,3,3,2,1,4,1,3,1,1,2,3,3,1,4,1,2,1,3,1,3,3,3,2,1,1,3,3,1,-0.991653814,-0.718429426,-1.168466993,-1.306618414,-1.061255122,-2.102836689,11,1,10,10,11,12,9,1,1,1,1,1,-1.764379471
2,2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,-1.231878532,-0.213996603,-1.367255352,-1.933155952,-1.733881465,-2.686479689,10,1,15,9,8,9,7,1,1,1,1,1,-1.910644203
1,1,1,1,1,2,4,1,3,2,1,2,1,3,5,1,3,1,2,4,1,2,1,3,5,1,3,1,5,5,-2.298429586,-0.485190575,-0.759234018,-1.553738864,-1.09395133,-0.900538441,5,0,12,12,11,12,15,1,1,1,1,1,-1.679753115
1,2,2,1,2,2,2,3,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,-1.588339794,-1.116330947,-1.77499301,-1.744757068,-1.733881465,-2.180360247,8,1,11,7,9,9,9,1,1,1,1,1,-2.350179989
2,3,4,3,4,2,3,2,4,4,4,4,2,4,2,2,4,4,4,2,4,4,4,2,2,2,2,4,4,2,0.132999429,0.112928971,0.151359504,-0.031658655,-0.008646507,-0.962483264,16,1,15,16,16,16,14,1,1,1,1,1,-0.165426373
4,4,2,4,3,4,4,2,4,3,4,4,4,2,2,4,4,2,3,2,2,2,4,2,4,4,4,2,4,3,0.211881627,0.322436798,0.160025127,-0.179828584,-0.604768498,-0.297823701,17,1,17,16,15,14,17,1,1,1,1,1,-0.073852405
1,2,4,3,4,2,3,3,2,4,3,4,2,4,3,4,3,3,2,4,4,3,2,3,4,4,3,4,2,4,-0.278763457,-0.422484182,0.175661827,-0.203858279,-0.066835123,-0.43769201,14,1,14,16,16,16,17,1,1,1,1,1,-0.274910483
